time	H2	O2	H2O	OH	H	HO2	O	N2
55	0.426136	0.456442	1.2494e-005	0.00168648	0.145614	6.65139e-005	0.0652647	0.01
56	0.424915	0.455842	1.31943e-005	0.00174381	0.147988	6.87583e-005	0.0664007	0.01
57	0.423698	0.455243	1.39197e-005	0.00180195	0.150356	7.10353e-005	0.0675356	0.01
58	0.422484	0.454643	1.46707e-005	0.00186091	0.152715	7.33447e-005	0.0686694	0.01
59	0.421273	0.454044	1.54478e-005	0.00192067	0.155068	7.56864e-005	0.0698022	0.01
60	0.420066	0.453445	1.62511e-005	0.00198123	0.157412	7.80601e-005	0.0709339	0.01
61	0.418862	0.452846	1.70812e-005	0.00204257	0.159749	8.04656e-005	0.0720645	0.01
62	0.417661	0.452247	1.79384e-005	0.00210471	0.162079	8.29027e-005	0.0731941	0.01
63	0.416463	0.451648	1.88231e-005	0.00216762	0.164401	8.53711e-005	0.0743226	0.01
64	0.415269	0.451049	1.97356e-005	0.0022313	0.166716	8.78707e-005	0.07545	0.01
65	0.414078	0.450451	2.06762e-005	0.00229575	0.169023	9.04012e-005	0.0765763	0.01
66	0.412891	0.449852	2.16454e-005	0.00236095	0.171323	9.29624e-005	0.0777016	0.01
67	0.411707	0.449254	2.26434e-005	0.00242691	0.173616	9.55541e-005	0.0788258	0.01
68	0.410526	0.448655	2.36706e-005	0.00249361	0.175901	9.81761e-005	0.0799489	0.01
69	0.409348	0.448057	2.47272e-005	0.00256106	0.178179	0.000100828	0.0810709	0.01
70	0.408174	0.447459	2.58138e-005	0.00262924	0.180449	0.00010351	0.0821918	0.01
71	0.407002	0.446861	2.69305e-005	0.00269814	0.182712	0.000106222	0.0833117	0.01
72	0.405834	0.446263	2.80776e-005	0.00276777	0.184968	0.000108963	0.0844305	0.01
73	0.40467	0.445666	2.92555e-005	0.00283811	0.187217	0.000111733	0.0855481	0.01
74	0.403508	0.445068	3.04645e-005	0.00290916	0.189458	0.000114533	0.0866647	0.01
75	0.40235	0.444471	3.17049e-005	0.00298091	0.191692	0.000117361	0.0877802	0.01
76	0.401195	0.443874	3.29769e-005	0.00305336	0.193919	0.000120218	0.0888946	0.01
77	0.400043	0.443277	3.42809e-005	0.0031265	0.196138	0.000123103	0.090008	0.01
78	0.398895	0.44268	3.56171e-005	0.00320033	0.198351	0.000126017	0.0911202	0.01
79	0.39775	0.442083	3.69859e-005	0.00327483	0.200556	0.000128958	0.0922313	0.01
80	0.396607	0.441487	3.83873e-005	0.00335001	0.202754	0.000131928	0.0933414	0.01
81	0.395469	0.44089	3.98219e-005	0.00342585	0.204945	0.000134925	0.0944503	0.01
82	0.394333	0.440294	4.12897e-005	0.00350236	0.207128	0.000137949	0.0955581	0.01
83	0.3932	0.439698	4.2791e-005	0.00357951	0.209305	0.000141001	0.0966649	0.01
84	0.392071	0.439102	4.43262e-005	0.00365732	0.211474	0.000144079	0.0977705	0.01
85	0.390945	0.438506	4.58953e-005	0.00373578	0.213637	0.000147185	0.0988751	0.01
86	0.389822	0.437911	4.74988e-005	0.00381486	0.215792	0.000150317	0.0999785	0.01
87	0.388702	0.437316	4.91367e-005	0.00389459	0.21794	0.000153475	0.101081	0.01
