time	H2	O2	H2O	OH	H	HO2	O	N2
7800	0,144528	0,0289988	0,0336436	0,379703	1,2599	0	1,50741	0,01
7900	0,144528	0,0289988	0,0336436	0,379703	1,2599	0	1,50741	0,01
8000	0,144528	0,0289988	0,0336436	0,379703	1,2599	0	1,50741	0,01
8100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
8200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
8300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
8400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
8500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
8600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
8700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
8800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
8900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
9000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
9100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
9200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
9300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
9400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
9500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
9600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
9700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
9800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
9900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
10000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
10100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
10200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
10300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
10400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
10500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
10600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
10700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
10800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
10900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
11000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
11100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
